report_number,local_case_number,agency_name,acrs_report_type,crash_date_time,route_type,road_name,cross_street_type,cross_street_name,off_road_description,municipality,related_non_motorist,collision_type,weather,surface_condition,light,traffic_control,driver_substance_abuse,non_motorist_substance_abuse,person_id,driver_at_fault,injury_severity,circumstance,driver_distracted_by,drivers_license_state,vehicle_id,vehicle_damage_extent,vehicle_first_impact_location,vehicle_second_impact_location,vehicle_body_type,vehicle_movement,vehicle_continuing_dir,vehicle_going_dir,speed_limit,driverless_vehicle,parked_vehicle,vehicle_year,vehicle_make,vehicle_model,equipment_problems,latitude,longitude,geolocation
MCP2739003N,200035836,Montgomery County Police,Property Damage Crash,2020-09-13T01:05:00.000,Maryland (State),NEW HAMPSHIRE AVE,County,OAKVIEW DR,,,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,7AB1C0D1-8995-4336-9676-1C249A896D5F,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,BEC3C0AD-D225-4E2A-A0C6-36100AD224A6,DESTROYED,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,STARTING FROM PARKED,North,North,40,No,No,2014,FORD,FUSION,NO MISUSE,39.014015,-76.97807,"
,  
(39.014015, -76.97807)"
MCP2739003N,200035836,Montgomery County Police,Property Damage Crash,2020-09-13T01:05:00.000,Maryland (State),NEW HAMPSHIRE AVE,County,OAKVIEW DR,,,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,UNKNOWN,,BFBF3747-6791-4376-8E94-2B9A904D1519,Yes,NO APPARENT INJURY,,UNKNOWN,,9EA2C5A3-B105-4FE3-BBEC-0EC43C9EA502,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,VAN,MOVING CONSTANT SPEED,North,North,40,No,No,0,UNKNOWN,UNKNOWN,UNKNOWN,39.014015,-76.97807,"
,  
(39.014015, -76.97807)"
MCP2853007L,200035826,Montgomery County Police,Property Damage Crash,2020-09-12T21:58:00.000,Maryland (State),UNIVERSITY BLVD E,County,WILLIAMSBURG DR,,,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,,,,BC86580C-0669-4036-98E0-5F50150A29F4,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,310BFFEE-5C05-4DAF-8979-9AB3627C6C80,DESTROYED,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,40,No,No,2015,FORD,FIESTA,,39.01901333,-77.00871500000001,"
,  
(39.01901333, -77.008715)"
MCP2853007L,200035826,Montgomery County Police,Property Damage Crash,2020-09-12T21:58:00.000,Maryland (State),UNIVERSITY BLVD E,County,WILLIAMSBURG DR,,,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,,UNKNOWN,,2E9150D3-CBE9-45CF-8C18-B7C5181F4148,Yes,NO APPARENT INJURY,,UNKNOWN,,11CA0E8E-3F61-414E-B435-8B509B8C7A5F,UNKNOWN,TWELVE OCLOCK,TWELVE OCLOCK,,UNKNOWN,Unknown,West,40,No,No,0,UNKNOWN,UNKNOWN,,39.01901333,-77.00871500000001,"
,  
(39.01901333, -77.008715)"
MCP2438002M,200035818,Montgomery County Police,Injury Crash,2020-09-12T20:19:00.000,Maryland (State),NEW HAMPSHIRE AVE,Unknown,ENT TO WHITE OAK CENTER,,,,HEAD ON LEFT TURN,CLOUDY,DRY,DARK LIGHTS ON,NO CONTROLS,,,1A8C524E-330E-44B6-991E-C94519736026,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,ABA6D2F5-3E2F-4FFE-BBEE-D4CC7482247A,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,40,No,No,2013,TOYOTA,TACOMA,NO MISUSE,39.0382371,-76.9900574,"
,  
(39.0382371, -76.9900574)"
MCP2438002M,200035818,Montgomery County Police,Injury Crash,2020-09-12T20:19:00.000,Maryland (State),NEW HAMPSHIRE AVE,Unknown,ENT TO WHITE OAK CENTER,,,,HEAD ON LEFT TURN,CLOUDY,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,,77314192-2F15-4F60-AFCF-73273E1E4095,Yes,POSSIBLE INJURY,,UNKNOWN,XX,898778F6-D3A2-498D-AF05-DFBA7B460C85,DISABLING,FOUR OCLOCK,FOUR OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,South,40,No,No,2015,GMC,ACADIA,UNKNOWN,39.0382371,-76.9900574,"
,  
(39.0382371, -76.9900574)"
MCP2438002M,200035818,Montgomery County Police,Injury Crash,2020-09-12T20:19:00.000,Maryland (State),NEW HAMPSHIRE AVE,Unknown,ENT TO WHITE OAK CENTER,,,,HEAD ON LEFT TURN,CLOUDY,DRY,DARK LIGHTS ON,NO CONTROLS,,,31C65BC8-7FF1-4BA8-B832-A1A5F6BF4923,Yes,POSSIBLE INJURY,,NOT DISTRACTED,MD,2C2F257E-E46B-4280-86ED-D81327FC81A4,DESTROYED,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,40,No,No,2015,HYUNDAI,ELANTRA,UNKNOWN,39.0382371,-76.9900574,"
,  
(39.0382371, -76.9900574)"
DD5624004D,200035816,Rockville Police Departme,Property Damage Crash,2020-09-12T19:56:00.000,Municipality,TWINBROOK PKWY,Municipality,LINTHICUM ST,,ROCKVILLE,,OTHER,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,ALCOHOL PRESENT,,7C6F7E17-F7BB-4E1B-9F3B-646F15EF1F92,Yes,NO APPARENT INJURY,,UNKNOWN,XX,63FB68C9-4A11-401C-827D-E14CEDE5A943,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,25,No,No,2006,ACUR,SEDAN,NO MISUSE,39.07951237,-77.11292237,"
,  
(39.07951237, -77.11292237)"
MCP29870061,200036034,Montgomery County Police,Property Damage Crash,2020-09-12T16:00:00.000,,,,,PARKING LOT OF 11235 OAK LEAF DR,,,OTHER,CLEAR,,DAYLIGHT,NO CONTROLS,UNKNOWN,,CBC2FEBE-BC17-4691-ADA5-146AA2E2BD4A,Yes,NO APPARENT INJURY,,UNKNOWN,,639A33B9-FC2F-4F02-97E2-AAD4D9DA7B10,SUPERFICIAL,EIGHT OCLOCK,EIGHT OCLOCK,"OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)",MOVING CONSTANT SPEED,Unknown,Unknown,15,No,No,2014,FORD,ECONOLINE,NO MISUSE,39.04130895,-76.99402001,"
,  
(39.04130895, -76.99402001)"
MCP24460058,200035795,Montgomery County Police,Property Damage Crash,2020-09-12T15:41:00.000,County,GREENEL RD,Maryland (State),WOODFIELD RD,,,,SAME DIRECTION SIDESWIPE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,B9029F79-7E2E-4CB1-BD90-B2F6A3AE1DD9,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,D544DF78-E985-4F0D-A3DF-FFCEF1ADF07B,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,OTHER,MOVING CONSTANT SPEED,West,West,25,No,No,1988,GRUMMAN,LLV,,39.26151333,-77.19813833,"
,  
(39.26151333, -77.19813833)"
MCP24460058,200035795,Montgomery County Police,Property Damage Crash,2020-09-12T15:41:00.000,County,GREENEL RD,Maryland (State),WOODFIELD RD,,,,SAME DIRECTION SIDESWIPE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,5813CE2C-4719-42D3-B2D1-994779A69121,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,93D78464-3E15-4054-9A3C-3639335334A5,SUPERFICIAL,THREE OCLOCK,THREE OCLOCK,(SPORT) UTILITY VEHICLE,PASSING,West,West,25,No,No,2014,HYUN,TK,NO MISUSE,39.26151333,-77.19813833,"
,  
(39.26151333, -77.19813833)"
MCP20080082,200035783,Montgomery County Police,Property Damage Crash,2020-09-12T15:36:00.000,,,,,DRIVEWAY OF 11021 BALANTRE LN,,,OTHER,CLOUDY,,DAYLIGHT,,NONE DETECTED,,06BA29D2-1EE0-4A77-B627-206082934C84,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,70FDADC7-2AA9-4A95-8CF1-EB262B006C72,DISABLING,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,BACKING,South,East,0,No,No,2006,MERZ,E350,NO MISUSE,39.098245,-77.19098000000001,"
,  
(39.098245, -77.19098)"
DD56360031,200035782,Rockville Police Departme,Injury Crash,2020-09-12T15:34:00.000,Maryland (State),FIRST ST,Maryland (State),ROCKVILLE PIKE,,,,HEAD ON LEFT TURN,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,C10ECBC4-1257-4E92-95B8-67A592B25612,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,7E6ECC8B-C131-417C-9D58-E15440413DBD,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,North,North,40,No,No,2011,FORD,TK,,39.07722517,-77.13945818,"
,  
(39.07722517, -77.13945818)"
DD56360031,200035782,Rockville Police Departme,Injury Crash,2020-09-12T15:34:00.000,Maryland (State),FIRST ST,Maryland (State),ROCKVILLE PIKE,,,,HEAD ON LEFT TURN,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,5FB943CF-29FC-4F05-BEE5-A26A1F4BB8CD,Yes,SUSPECTED MINOR INJURY,,LOOKED BUT DID NOT SEE,MD,0956B51E-35D3-499F-B0F8-8FE1175C2B62,DISABLING,TWELVE OCLOCK,ONE OCLOCK,PASSENGER CAR,ACCELERATING,East,South,40,No,No,2010,BMW,X5,,39.07722517,-77.13945818,"
,  
(39.07722517, -77.13945818)"
MCP32400015,200035785,Montgomery County Police,Injury Crash,2020-09-12T15:30:00.000,,,,,PARKING LOT OF HOME DEPOT 21010 FREDERICK RD,,PEDESTRIAN,OTHER,,,DAYLIGHT,NO CONTROLS,,,6E7C994D-99CD-475A-89BB-E33D60CAA6E0,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,3D69C982-DC15-48B7-BE6C-EB81EC55CABE,SUPERFICIAL,FOUR OCLOCK,FOUR OCLOCK,PASSENGER CAR,PARKED,,,15,No,Yes,2013,HOND,4S,,39.20145504,-77.2485474,"
,  
(39.20145504, -77.2485474)"
MCP32400015,200035785,Montgomery County Police,Injury Crash,2020-09-12T15:30:00.000,,,,,PARKING LOT OF HOME DEPOT 21010 FREDERICK RD,,PEDESTRIAN,OTHER,,,DAYLIGHT,NO CONTROLS,,,39476084-777D-44C2-A7F2-04F2338D0F26,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,DC59F91A-976B-44D1-9164-5DF6567D6653,SUPERFICIAL,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,BACKING,North,North,15,No,No,2012,TOYT,TK,NO MISUSE,39.20145504,-77.2485474,"
,  
(39.20145504, -77.2485474)"
MCP2365001Q,200035767,Montgomery County Police,Injury Crash,2020-09-12T13:36:00.000,US (State),COLUMBIA PIKE,County,GREENCASTLE RD,,,,SAME DIRECTION SIDESWIPE,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,FC062367-1755-4BDE-A5E7-542786C0330E,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,D935471A-203B-4527-B894-4D8E2E953F14,DESTROYED,ONE OCLOCK,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,South,60,No,No,2018,TOYOTA,4DR,NO MISUSE,39.09534833,-76.938315,"
,  
(39.09534833, -76.938315)"
MCP2365001Q,200035767,Montgomery County Police,Injury Crash,2020-09-12T13:36:00.000,US (State),COLUMBIA PIKE,County,GREENCASTLE RD,,,,SAME DIRECTION SIDESWIPE,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,A89F15C3-7E44-44A1-80FE-9A482D1F6A93,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,4AE4418D-5343-4A0A-AB6A-7473968EB243,SUPERFICIAL,SEVEN OCLOCK,SEVEN OCLOCK,PASSENGER CAR,CHANGING LANES,South,South,60,No,No,2013,MITSUBISHI,LANCER,NO MISUSE,39.09534833,-76.938315,"
,  
(39.09534833, -76.938315)"
MCP30120074,200035986,Montgomery County Police,Property Damage Crash,2020-09-12T12:30:00.000,,,,,ASPEN HILL SHOPPING CENTER GIANT FOOD,,,OTHER,CLEAR,,DAYLIGHT,NO CONTROLS,,,5C703455-36A0-4B7F-AD6D-AAAC8879CB52,Yes,NO APPARENT INJURY,,INATTENTIVE OR LOST IN THOUGHT,,1C9357E5-4496-48E5-BB10-D9EDB1D13296,SUPERFICIAL,ONE OCLOCK,ONE OCLOCK,PASSENGER CAR,PARKING,Unknown,Unknown,15,No,No,2013,TOYOTA,SCION,UNKNOWN,39.07984836,-77.07936882,"
,  
(39.07984836, -77.07936882)"
MCP91060029,200035754,Montgomery County Police,Property Damage Crash,2020-09-12T11:51:00.000,County,BOWMAN MILL RD,Maryland (State),GERMANTOWN RD,,,BICYCLIST,OTHER,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,F987950B-8AA1-4E87-A7A1-30C47CE148CB,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,F0187BF7-BA0C-4068-A3D2-BF65688B96A9,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,East,West,25,No,No,2017,HOND,4S,NO MISUSE,39.17514833,-77.27127167,"
,  
(39.17514833, -77.27127167)"
MCP3026005K,200035735,Montgomery County Police,Injury Crash,2020-09-12T08:59:00.000,County,LYTTONSVILLE RD,County,ROSS RD,,,,ANGLE MEETS LEFT HEAD ON,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,1C602103-AB7B-4732-B5E2-421550FFA947,No,SUSPECTED MINOR INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,A4E0F933-88A3-4809-9987-AE3844B332A6,DISABLING,ELEVEN OCLOCK,ELEVEN OCLOCK,PASSENGER CAR,NEGOTIATING A CURVE,South,South,30,No,No,2012,HONDA,CRV,NO MISUSE,38.995540000000005,-77.0541,"
,  
(38.99554, -77.0541)"
MCP3026005K,200035735,Montgomery County Police,Injury Crash,2020-09-12T08:59:00.000,County,LYTTONSVILLE RD,County,ROSS RD,,,,ANGLE MEETS LEFT HEAD ON,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,72F09B46-3E76-4E31-91C0-0F754F25AB42,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,26B8B14A-1DA8-4605-A4AD-190FFE495084,DISABLING,ELEVEN OCLOCK,ELEVEN OCLOCK,PICKUP TRUCK,MOVING CONSTANT SPEED,North,North,30,No,No,1994,CHEV,2D TK,NO MISUSE,38.995540000000005,-77.0541,"
,  
(38.99554, -77.0541)"
MCP2946003K,200035733,Montgomery County Police,Injury Crash,2020-09-12T08:37:00.000,Maryland (State),FREDERICK RD,County,LITTLE BENNETT DR,,,,HEAD ON LEFT TURN,CLOUDY,DRY,DAYLIGHT,,NONE DETECTED,,01C1253E-6763-4656-A95E-74802DDF6CB2,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,B98B5657-9531-40E8-A5F7-FFF097B82979,SUPERFICIAL,ONE OCLOCK,ONE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,North,North,50,No,No,2017,KIA,SPORTAGE,NO MISUSE,39.26485833,-77.30519333,"
,  
(39.26485833, -77.30519333)"
MCP2946003K,200035733,Montgomery County Police,Injury Crash,2020-09-12T08:37:00.000,Maryland (State),FREDERICK RD,County,LITTLE BENNETT DR,,,,HEAD ON LEFT TURN,CLOUDY,DRY,DAYLIGHT,,NONE DETECTED,,0845A8FE-2346-48A6-B401-003F87BB7608,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,C7017FC8-ACD0-43D5-89C4-9D2D3F8DA847,DESTROYED,EIGHT OCLOCK,TWELVE OCLOCK,VAN,MOVING CONSTANT SPEED,North,North,50,No,No,2016,FORD,TRANSIT,NO MISUSE,39.26485833,-77.30519333,"
,  
(39.26485833, -77.30519333)"
MCP2946003K,200035733,Montgomery County Police,Injury Crash,2020-09-12T08:37:00.000,Maryland (State),FREDERICK RD,County,LITTLE BENNETT DR,,,,HEAD ON LEFT TURN,CLOUDY,DRY,DAYLIGHT,,NONE DETECTED,,CF39A746-1061-4FA5-8310-1AEDE636A1E5,Yes,NO APPARENT INJURY,,OTHER DISTRACTION,MD,1FB8EDB9-B768-41AE-B8D1-0E43656D0AE4,DESTROYED,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,50,No,No,2007,NISS,MAXIMA,NO MISUSE,39.26485833,-77.30519333,"
,  
(39.26485833, -77.30519333)"
DD56330042,200035732,Rockville Police Departme,Property Damage Crash,2020-09-12T07:00:00.000,Municipality,MONROE ST,Municipality,E MONTGOMERY AVE,,ROCKVILLE,,OTHER,CLOUDY,DRY,DAYLIGHT,,NONE DETECTED,,1232D3F5-871D-4854-BE29-B402F8E2017E,Yes,NO APPARENT INJURY,,NOT DISTRACTED,PA,8947A9AE-F8F6-4CDB-8A18-474EE8C9611B,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,FIRE VEHICLE/EMERGENCY,MAKING LEFT TURN,East,East,10,No,No,2014,SPAR,TK,NO MISUSE,39.08406363,-77.1504194,"
,  
(39.08406363, -77.1504194)"
MCP2637003P,200035727,Montgomery County Police,Property Damage Crash,2020-09-12T06:42:00.000,County,SHADY GROVE RD,Maryland (State),W MONTGOMERY AVE,,,,HEAD ON LEFT TURN,CLOUDY,DRY,DAWN,TRAFFIC SIGNAL,NONE DETECTED,,DF811279-7C76-4113-A8B3-CE877A75A129,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,9DED0B4E-B537-4875-BF8F-956EDA3736D2,DISABLING,FIVE OCLOCK,FOUR OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,South,35,No,No,2015,NISS,4S,NO MISUSE,39.103654999999996,-77.19056667,"
,  
(39.103655, -77.19056667)"
MCP2637003P,200035727,Montgomery County Police,Property Damage Crash,2020-09-12T06:42:00.000,County,SHADY GROVE RD,Maryland (State),W MONTGOMERY AVE,,,,HEAD ON LEFT TURN,CLOUDY,DRY,DAWN,TRAFFIC SIGNAL,NONE DETECTED,,165A170A-2C74-4454-8A35-FD3E87268E19,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,12FED600-85CD-4EEB-A496-C2ECF232CE34,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,No,No,2010,TOYOTA,HIGHLANDER,NO MISUSE,39.103654999999996,-77.19056667,"
,  
(39.103655, -77.19056667)"
MCP2727002B,200036168,Montgomery County Police,Property Damage Crash,2020-09-12T06:30:00.000,,,,,PARKING LOT OF 12030 PARKLAWN DR,,,SINGLE VEHICLE,,,DAWN,,,,0D1C2492-9D9B-408C-BFC1-E9793FE504CC,Yes,NO APPARENT INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",NOT DISTRACTED,MD,A88FDB15-9B9A-4ECB-8DC7-C13AD646ABC0,SUPERFICIAL,THREE OCLOCK,THREE OCLOCK,POLICE VEHICLE/NON EMERGENCY,STARTING FROM PARKED,North,North,15,No,No,2014,DODGE,CHARGER,NO MISUSE,39.054,-77.107,"
,  
(39.054, -77.107)"
MCP26620028,200035700,Montgomery County Police,Property Damage Crash,2020-09-11T21:22:00.000,County,SHADY GROVE RD,Maryland (State),MUNCASTER MILL RD,,,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,UNKNOWN,,CD27617D-D63D-46B3-9EE6-3A5F716B0195,Yes,NO APPARENT INJURY,,UNKNOWN,,1CF948AD-5C93-445D-A011-CB4EFB47655A,UNKNOWN,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,UNKNOWN,East,North,45,No,No,2017,MAZDA,4S,UNKNOWN,39.14855351,-77.14697686,"
,  
(39.14855351, -77.14697686)"
MCP26620028,200035700,Montgomery County Police,Property Damage Crash,2020-09-11T21:22:00.000,County,SHADY GROVE RD,Maryland (State),MUNCASTER MILL RD,,,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,2C53E608-420A-4652-909F-4372B4A3FA25,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,C942CA21-75B4-4CDD-90E2-E5D671EDBD16,NO DAMAGE,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,North,45,No,No,2019,HOND,CRV,NO MISUSE,39.14855351,-77.14697686,"
,  
(39.14855351, -77.14697686)"
MCP3180001G,200035693,Montgomery County Police,Injury Crash,2020-09-11T20:25:00.000,Maryland (State),OLNEY LAYTONSVILLE RD,Unknown,OUT CORP LMTS LAYTONSVILLE,,,,SINGLE VEHICLE,CLEAR,DRY,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,,DDCC1EAC-4C76-43AD-BD24-3A8ADB6C4491,Yes,POSSIBLE INJURY,,NOT DISTRACTED,MD,8194B7AE-F1B3-4613-B62D-7ED63861AE49,DESTROYED,TEN OCLOCK,ROOF TOP,PASSENGER CAR,MOVING CONSTANT SPEED,East,West,50,No,No,2005,NISSAN,ALTIMA,NO MISUSE,39.18023833,-77.10438667,"
,  
(39.18023833, -77.10438667)"
MCP3256000B,200035696,Montgomery County Police,Property Damage Crash,2020-09-11T19:40:00.000,,JANUARY DRIVE,,FEBRUARY CIRCLE,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,22E92FDF-0B74-4A78-A495-AD9F0675A760,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,7F6FDB84-EF19-431E-9EB3-A577138FB7E3,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,10,No,No,2003,CHEVY,MALIBU,NO MISUSE,39.04711377,-76.97641087,"
,  
(39.04711377, -76.97641087)"
HA24140011,20002175,Maryland-National Capital,Property Damage Crash,2020-09-11T19:13:00.000,Maryland (State),GEORGIA AVE,County,HEATHFIELD RD,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,ALCOHOL PRESENT,,E36EEE59-97DC-4590-AFB6-96472428097F,Yes,NO APPARENT INJURY,,UNKNOWN,MD,A61A1C92-D7EE-42B2-8085-D46216CB6A4A,SUPERFICIAL,ONE OCLOCK,ONE OCLOCK,PASSENGER CAR,OTHER,North,North,35,No,No,2016,BMW,XL,NO MISUSE,39.08756593,-77.07944332,"
,  
(39.08756593, -77.07944332)"
HA24140011,20002175,Maryland-National Capital,Property Damage Crash,2020-09-11T19:13:00.000,Maryland (State),GEORGIA AVE,County,HEATHFIELD RD,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,,,F7B60D54-F144-4AE4-AD23-298AAEE5939D,No,NO APPARENT INJURY,,NOT DISTRACTED,OH,590DD704-E2DE-4E32-A71D-0314D3448CAD,DISABLING,SEVEN OCLOCK,SEVEN OCLOCK,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,North,North,35,No,No,2017,FORD,EXPLORER,,39.08756593,-77.07944332,"
,  
(39.08756593, -77.07944332)"
MCP3227001J,200035668,Montgomery County Police,Property Damage Crash,2020-09-11T16:20:00.000,Maryland (State),PINEY BRANCH RD,Maryland (State),UNIVERSITY BLVD E,,,,SAME DIRECTION SIDESWIPE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,CBF74488-25D7-45BA-8F7E-D76F3EC26BF7,Yes,NO APPARENT INJURY,,TALKING OR LISTENING TO CELLULAR PHONE,MD,37E54974-EC37-45E5-BC9B-1473345F9D4E,SUPERFICIAL,ONE OCLOCK,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,35,No,No,2004,CHEVROLET,COLORADO,NO MISUSE,38.99950283,-76.99616567,"
,  
(38.99950283, -76.99616567)"
MCP3227001J,200035668,Montgomery County Police,Property Damage Crash,2020-09-11T16:20:00.000,Maryland (State),PINEY BRANCH RD,Maryland (State),UNIVERSITY BLVD E,,,,SAME DIRECTION SIDESWIPE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,D2D540BC-1FDE-4FA3-B88E-3CB6D88C8F5F,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,BF133F34-8F90-4387-888E-CA8C0012CCC7,SUPERFICIAL,ELEVEN OCLOCK,ELEVEN OCLOCK,FIRE VEHICLE/EMERGENCY,STOPPED IN TRAFFIC LANE,South,South,35,No,No,2005,PIER,TRUCK,NO MISUSE,38.99950283,-76.99616567,"
,  
(38.99950283, -76.99616567)"
MCP20480032,200035667,Montgomery County Police,Property Damage Crash,2020-09-11T16:15:00.000,Maryland (State),PINEY BRANCH RD,Unknown,ENT TO BUSINESS,,,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,1BC88EC9-382E-40C1-98F3-50F78D1999B3,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,4605C385-0BED-4531-981D-60A6A5589E69,DISABLING,ONE OCLOCK,ONE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,South,35,No,No,2005,FORD,E350,NO MISUSE,38.99946,-76.99595333,"
,  
(38.99946, -76.99595333)"
MCP20480032,200035667,Montgomery County Police,Property Damage Crash,2020-09-11T16:15:00.000,Maryland (State),PINEY BRANCH RD,Unknown,ENT TO BUSINESS,,,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,3B8F8D25-F3BA-44F2-A37F-8D76B00AAE0E,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,F908798D-7C81-439C-9C7A-C305F7D71EAF,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,35,No,No,2015,NISSAN,ROGUE,NO MISUSE,38.99946,-76.99595333,"
,  
(38.99946, -76.99595333)"
MCP2931004J,200035664,Montgomery County Police,Injury Crash,2020-09-11T16:07:00.000,County,RANDOLPH RD,County,PARKLAWN DR,,,BICYCLIST,OTHER,CLEAR,DRY,DAYLIGHT,OTHER,NONE DETECTED,NONE DETECTED,A6F67FC9-C19D-4BCC-BCF1-EFBEC8BD0A3D,Yes,NO APPARENT INJURY,,UNKNOWN,MD,839923F8-1661-401B-8C72-40FBA5C441DC,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,35,No,No,2007,TOYOTA,TACOMA,NO MISUSE,39.05386333,-77.10594167,"
,  
(39.05386333, -77.10594167)"
